# Target Sample Rate: 100 Hz
# Max Device Sample Rate: 200 Hz
# Recording started at: 2026-03-22 00:54:13.565
time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
26.887616,3.7992,-0.7459,14.7967,15.29
26.897997,3.5700,-1.3958,13.7675,14.29
26.910647,3.1662,-2.1947,12.7561,13.33
26.918046,2.6276,-3.3150,11.8380,12.57
26.927988,1.9987,-4.6577,11.1460,12.24
26.938259,1.4225,-5.9160,10.6604,12.27
26.948093,0.9781,-7.0470,10.0042,12.28
26.960423,0.8128,-8.1390,8.9214,12.10
26.968209,1.0749,-9.0140,7.1897,11.58
26.978473,1.5793,-9.4761,5.0534,10.85
26.988878,2.0559,-9.7567,2.9453,10.40
26.998743,2.6172,-9.9234,1.0279,10.31
27.010586,3.3782,-9.8234,-0.5140,10.40
27.018828,4.1009,-9.5219,-1.9258,10.54
27.028715,4.6081,-9.1283,-3.8078,10.91
27.039302,4.8860,-8.6250,-5.9528,11.56
27.049117,4.8518,-8.0042,-7.8940,12.24
27.060521,4.5058,-7.2513,-9.5060,12.78
27.069138,3.8176,-6.3924,-10.6977,13.03
27.079288,2.6709,-5.7645,-11.2767,12.94
27.094463,1.2278,-5.5106,-11.2657,12.60
27.099509,0.1009,-5.2566,-11.1406,12.32
27.111183,-0.3690,-4.7792,-11.1672,12.15
27.119891,-0.5554,-4.1697,-11.2422,12.00
27.129953,-0.6754,-3.5427,-11.2815,11.84
27.144242,-0.5010,-2.9792,-11.3241,11.72
27.150146,-0.0936,-2.4916,-11.3510,11.62
27.160551,0.1001,-2.1111,-11.2557,11.45
27.170448,-0.1095,-1.9451,-11.0223,11.19
27.181194,-0.6527,-2.0678,-10.6875,10.91
27.194283,-1.3374,-2.2670,-10.3400,10.67
27.200205,-1.9058,-2.2538,-10.2750,10.69
27.210845,-2.1129,-2.1055,-10.5037,10.92
27.220333,-1.9491,-1.9687,-10.7858,11.14
27.230424,-1.6036,-1.7592,-10.9863,11.24
27.244351,-1.2416,-1.5891,-11.0162,11.20
27.250591,-0.9135,-1.7325,-10.8381,11.01
27.261194,-0.6700,-2.1529,-10.4221,10.66
27.270947,-0.5225,-2.6606,-10.0040,10.36
27.280872,-0.5213,-3.2812,-9.7532,10.30
27.294639,-0.8356,-4.0260,-9.5432,10.39
27.301078,-1.3288,-4.7026,-9.2465,10.46
27.311381,-1.7807,-5.1200,-8.8109,10.34
27.321114,-1.9718,-5.3313,-8.2314,10.00
27.331213,-1.7828,-5.6055,-7.3338,9.40
27.344652,-0.9513,-6.0301,-6.1520,8.67
27.351458,0.1172,-6.5371,-4.6780,8.04
27.361600,1.0049,-7.1074,-2.6840,7.66
27.372015,1.7854,-7.5527,-0.2912,7.77
27.381617,1.8719,-7.5909,1.9597,8.06
27.394705,1.3644,-7.5103,3.5543,8.42
27.401866,0.5315,-7.4464,5.2964,9.15
27.412134,-0.3755,-7.3002,7.9433,10.79
27.421934,-0.7425,-7.1428,10.0498,12.35
27.431992,-0.3598,-6.6059,10.7370,12.61
27.444861,0.8288,-5.8115,11.0010,12.47
27.452397,3.2018,-5.1020,11.3576,12.86
27.462277,6.0345,-3.7945,12.2396,14.16
27.472669,8.0864,-2.2305,14.4453,16.70
27.482395,9.4293,-1.2197,17.4018,19.83
27.495042,10.5988,-0.1400,19.9327,22.58
27.502591,11.6913,1.2083,21.7653,24.74
27.512687,12.1432,2.0453,22.8300,25.94
27.522595,11.8137,2.0166,22.8797,25.83
27.532865,11.4415,1.5702,21.6187,24.51
27.544956,11.3601,0.8969,19.0787,22.22
27.552916,11.1920,-0.0181,15.9322,19.47
27.563029,10.6019,-1.0258,13.0117,16.82
27.573487,9.5794,-2.0635,10.8323,14.61
27.583226,8.1840,-3.1958,9.4253,12.89
27.595186,6.5990,-4.4685,8.3350,11.53
27.603391,5.3626,-5.6394,6.9296,10.42
27.613474,4.5891,-6.4389,5.1545,9.44
27.623693,3.9953,-6.9782,3.3021,8.69
27.633574,3.5232,-7.3358,1.4283,8.26
27.652372,3.1204,-7.4180,-0.3793,8.06
27.666079,1.9722,-7.5266,-3.5325,8.55
27.679871,1.4550,-7.5184,-4.7203,9.00
27.684060,0.9345,-7.2829,-5.5763,9.22
27.714932,0.5292,-6.9067,-6.3787,9.42
27.729738,0.0934,-6.0742,-6.9590,9.24
27.763131,-0.5907,-5.8732,-6.7878,9.00
27.780789,-1.3238,-5.1235,-9.5346,10.90
27.785634,-1.7878,-4.7835,-9.9000,11.14
27.795852,-2.4673,-4.4074,-10.0834,11.28
27.804928,-3.0728,-4.1899,-10.2448,11.49
27.830247,-3.4350,-4.0858,-10.3295,11.63
27.830376,-3.5888,-3.9353,-10.2139,11.52
27.835179,-3.4942,-3.7500,-10.0968,11.32
27.846414,-3.3537,-3.5783,-10.2487,11.36
27.855477,-3.3809,-3.4533,-10.6754,11.72
27.865105,-3.4663,-3.3987,-11.2418,12.25
27.879156,-3.4343,-3.3699,-11.7761,12.72
27.885305,-3.3326,-3.4553,-12.0587,12.98
27.895945,-3.2518,-3.8335,-11.8201,12.84
27.905843,-3.2870,-4.4968,-10.9425,12.28
27.915743,-3.4336,-5.2194,-9.8913,11.70
27.929670,-3.5874,-5.8858,-9.1795,11.48
27.936023,-3.7985,-6.4856,-8.7108,11.51
27.946469,-4.0664,-7.0326,-8.2655,11.59
27.956388,-4.3294,-7.4886,-7.9154,11.73
27.965969,-4.4399,-7.8385,-7.8631,11.96
27.979552,-4.1636,-8.1500,-8.0034,12.16
27.986258,-3.6114,-8.5642,-8.0548,12.30
27.996535,-3.1082,-9.1883,-7.8485,12.48
28.006518,-2.6377,-9.8545,-7.1790,12.47
28.016563,-1.6204,-10.3085,-6.0989,12.09
28.029871,0.1683,-10.5927,-4.5887,11.55
28.036697,1.8338,-10.8837,-1.6633,11.16
28.046880,2.7928,-11.1368,2.7922,11.82
28.057297,3.5994,-10.6272,7.6867,13.60
28.066928,4.2453,-9.2393,12.2237,15.90
28.080000,4.3185,-7.9322,14.9749,17.49
28.087032,4.7633,-6.7711,15.3954,17.48
28.097122,6.0479,-5.2680,14.9250,16.94
28.113168,8.1569,-3.4886,14.4329,16.94
28.117280,10.4351,-1.4858,14.4054,17.85
28.130094,11.5514,0.3132,15.3271,19.20
28.137566,11.6435,1.3301,16.5957,20.32
28.147594,11.4980,1.9449,17.8697,21.34
28.157688,11.4530,2.5625,19.2914,22.58
28.167736,11.4826,3.0483,20.4342,23.64
28.179856,11.5630,3.2311,20.9105,24.11
28.187914,11.6564,3.1916,20.4347,23.74
28.197877,11.4042,2.8659,18.9202,22.28
28.208089,10.5699,2.0962,16.4554,19.67
28.218045,9.5218,1.0247,13.1000,16.23
28.230163,8.4204,-0.0183,9.6049,12.77
28.238203,7.1640,-0.9432,6.8641,9.97
28.248328,6.1016,-1.7481,5.0848,8.13
28.258900,5.5032,-2.4292,4.2542,7.37
28.268253,5.3139,-3.0366,3.9457,7.28
28.280789,5.2981,-3.7654,3.7787,7.52
28.288418,4.8151,-4.7280,3.8375,7.76
28.298641,3.8954,-5.8197,3.4515,7.81
28.314444,3.1830,-6.7147,2.1781,7.74
28.318826,2.6362,-7.2134,0.7421,7.72
28.330665,2.1089,-7.4349,-0.3480,7.74
28.338667,1.6730,-7.5114,-1.2710,7.80
28.349187,1.3657,-7.4848,-2.3060,7.95
28.364311,1.1720,-7.3004,-3.2031,8.06
28.369282,0.9679,-6.9855,-3.8278,8.02
28.380513,0.7341,-6.6481,-4.4004,8.01
28.389318,0.5809,-6.2520,-5.1180,8.10
28.399483,0.5319,-5.7608,-6.0983,8.41
28.414309,0.4816,-5.2288,-7.1742,8.89
28.419641,0.2661,-4.8165,-8.1320,9.46
28.430608,-0.2540,-4.6866,-8.6416,9.83
28.439745,-1.0043,-4.7710,-8.5003,9.80
28.450127,-1.8536,-4.9702,-8.1540,9.73
28.464278,-2.7461,-5.2042,-8.0374,9.96
28.470193,-3.4217,-5.3063,-8.0368,10.22
28.480695,-3.8556,-5.2668,-8.0201,10.34
28.490533,-4.2128,-5.1893,-8.0907,10.49
28.500263,-4.5054,-5.0720,-8.2958,10.72
28.513859,-4.6827,-4.8643,-8.5794,10.92
28.520374,-4.6966,-4.6244,-8.9916,11.15
28.530892,-4.5114,-4.3994,-9.5025,11.40
28.540416,-4.2769,-4.1639,-10.0120,11.66
28.550626,-4.1343,-3.9784,-10.4485,11.92
28.564338,-4.0051,-3.8747,-10.6584,12.03
28.572782,-3.8257,-3.8698,-10.5858,11.90
28.581309,-3.6132,-4.0285,-10.2446,11.59
28.590607,-3.4287,-4.3582,-9.7271,11.20
28.601018,-3.2952,-4.7378,-9.2102,10.87
28.614764,-3.2354,-5.1414,-8.8138,10.70
28.621162,-3.2583,-5.6435,-8.6681,10.84
28.631403,-3.3645,-6.2178,-8.6664,11.18
28.641306,-3.5700,-6.8042,-8.6500,11.57
28.651357,-3.8400,-7.4294,-8.8233,12.16
28.664388,-4.0628,-8.1147,-9.0872,12.84
28.671599,-4.3411,-8.8005,-9.0411,13.34
28.681640,-4.6463,-9.4056,-8.4909,13.50
28.691812,-4.4656,-10.0656,-7.2284,13.17
28.701846,-3.4286,-10.6254,-5.3929,12.40
28.714428,-1.5300,-10.7033,-3.0989,11.25
28.721929,0.6365,-10.3296,-0.4483,10.36
28.733969,2.2422,-9.5226,1.7009,9.93
28.741989,3.0033,-8.6785,2.5745,9.54
28.752133,3.1752,-8.3033,2.6495,9.28
28.780645,3.2941,-8.1267,3.8852,9.59
28.792850,8.1177,-4.3111,13.8315,16.61
28.802584,9.5950,-2.8520,15.9036,18.79
28.815186,10.5819,-1.7513,17.6933,20.69
28.822801,11.1289,-0.6668,19.7966,22.72
28.833022,11.6182,0.5618,21.8767,24.78
28.843004,12.1298,1.8814,23.2579,26.30
28.852975,12.1380,2.8344,23.6360,26.72
28.865274,11.7711,3.3615,23.1463,26.18
28.873329,11.5356,3.7481,22.0318,25.15
28.883776,11.5571,3.8925,20.4836,23.84
28.898601,11.5396,3.6571,18.4540,22.07
28.903407,11.2732,3.0533,15.8665,19.70
28.929330,10.9499,2.2286,12.9054,17.07
28.929476,10.5304,1.3603,10.2764,14.78
28.933950,9.6383,0.2509,8.6899,12.98
28.948898,8.2574,-1.2950,8.0626,11.61
28.953804,6.8680,-3.0915,7.6275,10.72
28.970713,5.7756,-4.6847,7.0432,10.24
28.974174,4.9328,-6.0434,6.2962,10.02
28.986134,4.3257,-7.2578,5.1985,9.92
29.011533,3.8072,-8.2163,3.7968,9.82
29.024645,2.2884,-9.9677,-1.3689,10.32
29.035767,1.5869,-10.2225,-2.9044,10.74
29.049088,0.9069,-10.3481,-4.4256,11.29
29.054546,0.3266,-10.2540,-5.9736,11.87
29.065572,-0.2682,-9.9428,-7.2838,12.33
29.074610,-0.8951,-9.5063,-8.3145,12.66
29.084561,-1.5087,-8.9937,-9.4065,13.10
29.099941,-1.9438,-8.3103,-10.7920,13.76
29.104714,-2.2680,-7.4083,-12.3097,14.54
29.115645,-2.7302,-6.4894,-13.3886,15.13
29.125043,-3.5734,-5.8390,-13.6539,15.27
29.135124,-4.7064,-5.5154,-13.5760,15.39
29.149045,-5.5098,-5.3612,-13.5279,15.56
29.155273,-5.4767,-5.0647,-13.4753,15.40
29.165660,-5.0909,-4.6178,-13.4404,15.10
29.175739,-5.0504,-4.3939,-13.5977,15.16
29.189178,-5.2772,-4.4456,-14.1252,15.72
29.195745,-5.6538,-4.5907,-14.9082,16.59
29.205466,-6.1010,-4.8245,-15.6352,17.46
29.215953,-6.3516,-5.1140,-15.6454,17.64
29.225877,-6.0638,-5.3780,-14.4845,16.60
29.235933,-5.2240,-5.6016,-12.8303,14.94
29.249729,-4.0013,-5.7920,-11.5596,13.53
29.256169,-2.6242,-5.9156,-10.6156,12.43
29.267329,-1.4264,-5.9951,-9.8616,11.63
29.276297,-0.6458,-6.2148,-9.5428,11.41
29.287354,-0.4108,-6.6491,-9.4680,11.58
29.299324,-0.5311,-7.2203,-9.1988,11.71
29.306669,-0.5570,-7.9107,-8.3270,11.50
29.316623,-0.3673,-8.6346,-6.6959,10.93
29.326791,0.0257,-9.2862,-4.6709,10.39
29.336715,0.3501,-9.7620,-2.3594,10.05
29.349655,0.5323,-10.0489,0.2407,10.07
29.356846,0.8004,-10.0610,2.6471,10.43
29.366911,1.1693,-9.6856,4.2978,10.66
29.377018,1.5248,-8.8849,4.9490,10.28
29.387091,1.5911,-8.0078,5.1708,9.66
29.399656,1.8846,-7.4217,5.2213,9.27
29.407214,2.7371,-6.7758,5.4486,9.12
29.417526,3.4873,-6.0405,6.5079,9.54
29.427764,4.3468,-5.4451,7.8162,10.47
29.437542,5.6063,-4.7294,9.5544,12.05
29.449942,7.8704,-3.6120,12.1956,14.96
29.457599,10.9673,-1.5783,15.0367,18.68
29.467865,12.8676,0.6431,17.6682,21.87
29.478274,12.9195,1.8323,19.5160,23.48
29.487902,12.0630,2.3703,20.1229,23.58
29.499998,11.4648,2.8817,20.3047,23.50
29.507973,11.6062,3.3766,20.7694,24.03
29.518110,11.9598,3.6747,20.9570,24.41
29.528681,11.8962,3.6451,19.9577,23.52
29.538271,11.3733,3.2166,17.6547,21.25
29.550005,10.7026,2.5560,14.7487,18.40
29.558673,10.1779,1.8208,11.8893,15.76
29.568556,9.7714,1.0075,9.6634,13.78
29.583620,9.2249,0.0977,8.4478,12.51
29.588849,8.4403,-0.9744,7.9051,11.61
29.600456,7.5273,-2.0966,7.5330,10.85
29.608773,6.4804,-3.2220,7.1763,10.19
29.618939,5.3776,-4.4705,6.7273,9.70
29.634102,4.4360,-5.5924,6.0727,9.37
29.639042,3.7836,-6.4914,5.1430,9.11
29.650301,3.2866,-7.3025,3.9630,8.93
29.659106,2.8514,-7.9908,2.6790,8.90
29.669347,2.4431,-8.5684,1.3930,9.02
29.683715,1.9417,-9.0606,0.0951,9.27
29.689410,1.2988,-9.4007,-1.0453,9.55
29.700200,0.6541,-9.5854,-1.8833,9.79
29.710232,0.1885,-9.6603,-2.7185,10.04
29.719716,-0.2370,-9.6794,-3.7079,10.37
29.733947,-0.7293,-9.6013,-4.5606,10.65
29.739846,-1.1932,-9.3293,-5.2526,10.77
29.750894,-1.6064,-8.8640,-5.9788,10.81
29.760256,-1.8858,-8.2257,-6.7239,10.79
29.770241,-2.0448,-7.5481,-7.4548,10.80
29.784045,-2.2457,-6.9297,-8.2158,10.98
29.790451,-2.4679,-6.3492,-9.0618,11.34
29.800885,-2.8471,-5.9056,-10.0061,11.96
29.810745,-3.4740,-5.5912,-10.7607,12.61
29.820492,-4.0959,-5.2436,-11.0860,12.93
29.834290,-4.5145,-4.8676,-11.0830,12.92
29.840559,-4.8638,-4.5486,-10.8742,12.75
29.850995,-5.2621,-4.3753,-10.6437,12.65
29.860701,-5.6035,-4.3636,-10.6145,12.77
29.870605,-5.8162,-4.3611,-10.8348,13.05
29.883998,-5.8909,-4.2867,-11.1864,13.35
29.890672,-5.9076,-4.2492,-11.5574,13.66
29.901096,-5.9659,-4.4044,-11.8551,13.98
29.911647,-6.0705,-4.7548,-11.9487,14.22
29.921267,-6.2094,-5.2512,-11.5513,14.13
29.934058,-6.2946,-5.7555,-10.7344,13.71
29.941649,-6.2469,-6.2013,-10.0501,13.36
29.951362,-6.1682,-6.6642,-9.6992,13.29
29.967715,-6.0751,-7.2139,-9.4978,13.38
29.971707,-6.0032,-7.8380,-9.2627,13.54
29.984570,-5.8378,-8.5235,-8.9249,13.65
29.991818,-5.5289,-9.2943,-8.6160,13.83
30.001971,-5.1029,-10.1589,-8.3250,14.09
30.012253,-4.5946,-11.1349,-7.7825,14.34
30.022072,-4.4789,-12.2466,-7.0986,14.85
30.035327,-4.8217,-13.3320,-6.1763,15.46
30.042225,-4.8764,-14.1828,-4.4460,15.64
30.052183,-3.8168,-14.5594,-1.8149,15.16
30.062677,-1.1686,-14.2659,1.0644,14.35
30.072472,2.8111,-12.9298,3.3625,13.65
30.084640,7.0755,-10.4143,5.2388,13.64
30.092553,10.6145,-7.6892,7.1450,14.93
30.102739,12.8337,-5.4235,8.9833,16.58
30.113295,13.4818,-3.5905,10.6240,17.54
30.123083,13.3711,-2.1415,11.5314,17.79
30.140387,13.8256,-0.5383,12.3260,18.53
30.142922,14.9473,1.1856,14.3200,20.73
30.154345,16.0911,2.6034,17.0045,23.56
30.168970,16.5828,3.7284,19.0813,25.55
30.173106,16.2727,4.4096,20.3086,26.39
30.200862,15.8895,4.7044,21.0694,26.81
30.218816,14.5774,4.1408,22.5794,27.19
30.223634,13.3228,3.0456,21.5775,25.54
30.239653,11.8509,1.6344,19.5473,22.92
30.243754,10.5350,0.1477,16.6879,19.74
30.254036,9.5215,-1.2828,13.7248,16.75
30.268617,8.6419,-2.6739,11.5181,14.65
30.273923,7.6146,-4.0160,10.1324,13.30
30.285271,6.4101,-5.3231,8.7597,12.09
30.294103,5.4026,-6.5360,7.1676,11.10
30.304013,4.8542,-7.5060,5.8069,10.66
30.318451,4.5682,-8.2906,4.6564,10.55
30.324188,4.2360,-8.9490,3.4571,10.49
30.335560,3.7057,-9.5579,2.0831,10.46
30.344206,3.0804,-10.1342,0.6932,10.61
30.354351,2.6067,-10.5548,-0.4421,10.88
30.368804,2.2210,-10.7918,-1.5512,11.13
30.374768,1.8695,-10.8112,-2.6108,11.28
30.384995,1.6322,-10.6649,-3.2263,11.26
30.394872,1.4030,-10.4641,-3.6367,11.17
30.404735,1.0692,-10.2673,-4.2530,11.16
30.418386,0.5587,-10.1033,-5.0144,11.29
30.425112,-0.1930,-9.8876,-5.9610,11.55
30.435543,-1.0661,-9.5187,-7.0533,11.90
30.445518,-1.7955,-9.0367,-7.7504,12.04
30.455328,-2.2937,-8.5657,-7.8749,11.86
30.469271,-2.5961,-8.1255,-7.9188,11.64
30.475815,-2.7213,-7.6385,-8.0926,11.46
30.486196,-2.8497,-7.1450,-8.2778,11.30
30.495600,-3.1530,-6.7290,-8.3454,11.17
30.505667,-3.7522,-6.3997,-8.3460,11.17
30.518797,-4.4922,-6.1662,-8.6987,11.57
30.525919,-5.1096,-5.9702,-9.3236,12.19
30.536087,-5.5358,-5.6956,-9.8077,12.62
30.546147,-5.8968,-5.4840,-10.2283,13.02
30.556117,-6.4440,-5.5017,-10.8356,13.76
30.569284,-7.1187,-5.5602,-11.6909,14.77
30.578318,-7.5946,-5.5421,-12.5291,15.66
30.586351,-7.6306,-5.4956,-12.8891,15.95
30.596491,-7.2129,-5.4867,-12.6056,15.53
30.606531,-6.5498,-5.6321,-11.9329,14.73
30.619127,-5.8146,-5.8946,-11.1809,13.91
30.626726,-5.0474,-6.2029,-10.5263,13.22
30.636933,-4.2646,-6.5574,-10.0330,12.72
30.647225,-3.6456,-7.0057,-9.4934,12.35
30.656880,-3.3856,-7.5928,-8.7457,12.07
30.669661,-3.3469,-8.2613,-7.9938,11.97
30.676982,-3.3653,-8.8211,-7.5374,12.08
30.687161,-3.3063,-9.3437,-7.7082,12.56
30.697468,-3.0625,-9.9809,-8.3893,13.39
30.707267,-2.7593,-10.6889,-8.7258,14.07
30.719798,-2.4563,-11.3964,-7.9431,14.11
30.727730,-2.2355,-12.1366,-6.1583,13.79
30.737890,-2.1205,-12.8658,-3.7909,13.58
30.747733,-1.6002,-13.4699,-1.5657,13.65
30.757746,-0.0244,-13.3733,0.0429,13.37
30.769784,3.2167,-12.3042,1.8427,12.85
30.777823,8.5495,-10.0018,4.8713,14.03
30.788109,13.8707,-6.2350,9.4496,17.90
30.802881,16.1266,-2.7897,14.0869,21.59
30.808067,14.7269,-1.0417,16.4319,22.09
30.819507,10.9364,-0.4266,15.6717,19.12
30.827966,7.2384,-0.2962,13.0331,14.91
30.838412,6.1011,0.1807,11.3637,12.90
30.853530,7.6301,1.5659,12.3907,14.64
30.858440,10.4179,3.3504,14.8412,18.44
30.870240,13.0901,4.9530,16.9881,22.01
30.878658,14.4732,5.8385,18.6099,24.29
30.888491,14.5514,5.9720,19.9860,25.43
30.903365,13.8768,5.7135,20.9672,25.78
30.908897,12.6869,5.0363,21.3059,25.30
30.919642,11.0876,3.8967,21.1332,24.18
30.929142,9.4044,2.4309,20.5751,22.75
30.939004,8.1369,0.8975,19.1396,20.82
30.953062,7.3481,-0.5147,16.7344,18.28
30.959239,6.6996,-1.8045,14.0246,15.65
30.970056,6.0984,-2.9376,11.7146,13.53
30.980094,5.6181,-3.9942,10.1061,12.23
30.989506,5.2449,-5.1300,8.9964,11.61
31.003491,4.8375,-6.2681,8.0485,11.29
31.009838,4.3620,-7.3069,7.0623,11.06
31.020065,3.9189,-8.2935,5.9576,10.94
31.030413,3.6764,-9.1066,4.9402,10.99
31.041226,3.5736,-9.7091,3.9330,11.07
31.053704,3.3167,-10.3364,2.4696,11.13
31.059971,2.9742,-10.8262,0.7431,11.25
31.070838,2.6578,-11.0090,-0.9334,11.36
31.080166,2.3144,-10.9460,-2.4400,11.45
31.090337,2.0252,-10.7014,-3.6564,11.49
31.104064,1.6991,-10.5145,-4.7146,11.65
31.110439,1.0802,-10.4874,-5.7361,12.00
31.120618,0.1757,-10.4189,-6.6086,12.34
31.131045,-0.7264,-10.1777,-7.3185,12.56
31.140612,-1.4712,-9.8490,-8.0702,12.82
31.153614,-2.1592,-9.5087,-8.9059,13.21
31.161154,-2.8302,-9.1292,-9.6673,13.59
31.170967,-3.4207,-8.6823,-10.3865,13.96
31.181247,-3.9414,-8.1723,-11.1929,14.41
31.190777,-4.4830,-7.6506,-11.9489,14.88
31.203947,-5.0452,-7.1691,-12.6639,15.40
31.211214,-5.5569,-6.7417,-13.3421,15.95
31.221225,-5.9192,-6.3249,-13.8293,16.32
31.231728,-6.0996,-5.9275,-14.0987,16.47
31.241397,-6.1363,-5.6519,-14.2280,16.49
31.253937,-6.0249,-5.5566,-14.2521,16.44
31.261771,-5.7167,-5.5739,-14.0628,16.17
31.271709,-5.3191,-5.6581,-13.4936,15.57
31.282216,-4.9684,-5.9062,-12.5806,14.76
31.291779,-4.6958,-6.3195,-11.5771,14.00
31.309426,-4.5427,-6.8891,-10.6319,13.46
31.311976,-4.5187,-7.5546,-9.7219,13.12
31.323129,-4.6196,-8.2318,-8.9096,12.98
31.331904,-4.8231,-8.9995,-8.2052,13.10
31.341946,-5.1190,-9.8751,-7.4426,13.38
31.373465,-5.4340,-10.8001,-6.5682,13.76
31.392637,-5.3271,-14.2568,-4.5481,15.88
31.419597,-3.3567,-14.5172,-4.0420,15.44
31.433114,2.1735,-13.1672,0.8704,13.37
31.443024,1.5006,-12.8736,2.0040,13.11
31.455013,0.6026,-12.4549,1.5656,12.57
31.463091,1.8266,-11.3509,0.2214,11.50
31.473180,5.8884,-9.1268,0.5434,10.88
31.488230,11.5433,-6.1068,4.9241,13.96
31.493420,16.7729,-3.2302,11.3183,20.49
31.504825,19.8845,-0.7917,16.5408,25.88
31.513445,19.9126,1.0161,19.7392,28.06
31.523525,17.7384,2.0022,20.7605,27.38
31.538136,15.9715,3.0802,20.0731,25.84
31.543517,15.8261,4.8208,19.3254,25.44
31.554769,16.7912,6.5521,19.2437,26.37
31.563762,17.8606,7.8249,19.7677,27.77
31.573993,18.2268,8.2799,20.7412,28.83
31.588357,17.7265,7.7998,21.5574,28.98
31.594146,16.3053,6.5795,21.8276,28.03
31.605082,14.3985,4.8133,21.0972,25.99
31.614249,12.7439,2.9434,19.1022,23.15
31.624131,11.4428,1.1854,16.2470,19.91
31.638829,10.2058,-0.4051,13.1751,16.67
31.644277,9.1019,-1.7852,10.4719,13.99
31.655125,8.2818,-3.1340,8.4750,12.26
31.664858,7.5826,-4.4514,7.1124,11.31
31.674740,6.8690,-5.7875,6.0598,10.84
31.688490,6.1628,-7.1389,5.2120,10.78
31.694851,5.5051,-8.3559,4.4082,10.93
31.705117,4.9369,-9.4167,3.4969,11.19
31.715371,4.3530,-10.4076,2.4303,11.54
31.725128,3.6369,-11.2979,0.9250,11.90
31.738695,2.8666,-11.8577,-0.8285,12.23
31.745247,2.0231,-12.0896,-2.4437,12.50
31.755511,1.2249,-12.1395,-3.8955,12.81
31.765580,0.5204,-12.0542,-5.0738,13.09
31.775593,-0.2217,-11.8922,-5.9910,13.32
31.788663,-1.0832,-11.7289,-6.9542,13.68
31.795655,-1.9446,-11.5318,-8.0076,14.17
31.805992,-2.6760,-11.2067,-9.1154,14.69
31.816306,-3.3552,-10.7550,-10.4057,15.34
31.825879,-4.1357,-10.2066,-11.9000,16.21
31.839058,-5.2910,-9.6025,-13.3441,17.27
31.846090,-6.8254,-9.0830,-14.4242,18.36
31.856097,-8.2501,-8.6391,-14.9805,19.16
31.866488,-9.1558,-8.1275,-15.1486,19.48
31.876282,-9.4448,-7.6032,-15.1139,19.38
31.888942,-9.2895,-7.1655,-14.7165,18.82
31.896510,-8.7262,-6.8587,-14.1143,17.96
31.906497,-7.8376,-6.6716,-13.5713,17.03
31.917045,-6.7490,-6.4961,-12.9457,15.98
31.926716,-5.5933,-6.3183,-12.2573,14.88
31.939058,-4.6143,-6.2442,-11.5209,13.89
31.946768,-3.8933,-6.3034,-10.8743,13.16
31.956923,-3.3834,-6.4919,-10.6774,12.95
31.967509,-3.0873,-6.8145,-10.7983,13.14
31.976698,-3.1133,-7.3181,-10.9292,13.52
31.989218,-3.3620,-8.1020,-11.0935,14.14
31.997365,-3.6503,-9.1928,-11.0990,14.87
32.008432,-3.9718,-10.4353,-10.6539,15.43
32.017463,-4.2016,-11.6851,-9.9018,15.88
32.027407,-4.2170,-13.0148,-8.8202,16.28
32.039662,-3.9268,-14.2309,-7.4462,16.53
32.047795,-2.7164,-15.2355,-5.6728,16.48
32.057681,-0.5893,-15.7159,-2.6412,15.95
32.072542,2.1669,-15.3463,2.3277,15.67
32.077824,5.3505,-13.8995,8.4211,17.11
32.089533,8.0900,-11.2315,13.7299,19.50
32.097974,9.9728,-8.4085,16.0215,20.66
32.108072,11.0199,-5.8991,15.1920,19.67
32.122730,10.2245,-4.0341,13.7187,17.58
32.128244,8.0593,-3.1429,12.5286,15.22
32.139982,6.8700,-2.1843,11.6527,13.70
32.148345,7.8435,-0.5734,12.3656,14.65
32.158496,10.8039,1.5322,14.6670,18.28
32.172947,14.3108,3.7368,16.8492,22.42
32.178651,17.1970,5.6547,18.0106,25.54
32.189965,18.9209,7.2427,18.3815,27.36
32.198707,19.1803,8.1355,18.1505,27.63
32.212488,18.3891,8.1465,17.4637,26.64
32.223521,17.0698,7.4511,16.8676,25.13
32.228965,15.5068,6.1416,16.2824,23.31
32.239905,14.1122,4.6135,15.1360,21.20
32.249146,12.9749,3.0177,13.4732,18.95
32.259356,11.8224,1.3339,11.6795,16.67
32.274493,10.6535,-0.3016,10.2318,14.77
32.282453,9.5818,-1.8709,9.3346,13.51
32.291523,8.5226,-3.4660,8.6935,12.66
32.299550,7.4141,-5.0649,8.0583,12.06
32.309853,6.1964,-6.5282,7.4055,11.66
32.324455,5.0875,-7.8565,6.5215,11.41
32.330682,4.4399,-8.8350,5.3312,11.23
32.344284,3.9450,-9.4921,4.0113,11.03
32.350193,3.3338,-10.1588,2.6769,11.02
32.359950,2.5397,-10.7711,1.3565,11.15
32.373350,1.6759,-11.2277,0.0873,11.35
32.380161,0.8718,-11.4900,-0.8091,11.55
32.405172,0.1662,-11.5970,-1.3168,11.67
32.424331,-2.0687,-11.5877,-2.8652,12.11
32.430734,-2.7341,-11.2065,-3.8155,12.15
32.440812,-2.9953,-10.6061,-5.0475,12.12
32.450711,-3.2018,-9.8969,-6.4226,12.23
32.460799,-3.4320,-9.2251,-7.4573,12.35
32.473679,-3.5486,-8.6103,-8.2523,12.44
32.481033,-3.6723,-8.0773,-9.0303,12.66
32.491158,-4.0021,-7.6711,-9.8220,13.09
